dish_id,total_mass,total_calories,total_fat,total_carb,total_protein,calories_per_100g,fat_per_100g,carb_per_100g,protein_per_100g
dish_1562183096,41.18898,95.0,2.571043,3.28026,2.80497,230.64421600146446,6.242065232011086,7.96392627348383,6.81000112165924
dish_1563476551,1116.391113,750.0,51.413692,74.705963,85.498482,67.18075692886674,4.60534766009016,6.691737521919883,7.658470316038785
dish_1559844951,274.335999,122.0,17.906,22.792,9.784,44.47101380960214,6.527032567825704,8.308060219249608,3.5664295009274376
dish_1550778583,67.759995,88.0,0.088,14.96,1.76,129.87013945322752,0.1298701394532275,22.07792370704868,2.5974027890645504
dish_1562963704,663.755798,479.0,28.423254,66.054832,35.921761,72.16509466935007,4.282185419041718,9.951676836425918,5.4118941195297845
dish_1566417398,56.892494,46.0,5.357862,2.088042,0.792647,80.85425117766853,9.417519998332292,3.6701537464678555,1.39323651376577
dish_1561739238,274.190002,257.0,9.785,37.556999,9.465,93.73062406557041,3.5686932158817375,13.697435619844372,3.45198582404912
dish_1562611680,326.888977,256.0,19.411798,24.775015,16.028036,78.31405095069938,5.938345850065174,7.579030418024772,4.90320479665486
dish_1568144828,76.748177,152.0,4.168533,10.369692,1.329856,198.0503067844856,5.431442365074027,13.511320275398855,1.7327525577578213
dish_1550708440,37.5,75.0,0.075,9.75,0.375,200.0,0.19999999999999998,26.0,1.0
dish_1551307090,171.550003,52.0,11.686,11.48,6.152,30.31186190069609,6.812008041760278,6.6919264349998295,3.5861264310208143
dish_1564432238,455.387939,315.0,23.15468,34.854778,28.074873,69.17179244837223,5.0846054576777,7.653864983016161,6.165045359271142
dish_1563468327,351.886047,483.0,9.768622,57.495316,12.099887,137.26034439779875,2.776075403751374,16.339186077474675,3.438581069967801
dish_1562862493,198.320007,134.0,14.74,2.144,13.400001,67.56756518266964,7.43243217009366,1.0810810429227142,6.756757022502525
dish_1558549008,20.700001,115.0,0.23,4.485,1.035,555.5555287171242,1.1111110574342484,21.666665619967844,4.999999758454117
dish_1560453174,329.716248,256.0,18.145134,10.521854,32.1376,77.64251884851001,5.503257455483358,3.191184560610431,9.747047709944825
dish_1551226363,17.15,49.0,0.196,3.43,1.176,285.7142857142857,1.142857142857143,20.000000000000004,6.857142857142858
dish_1562691032,419.681702,415.0,22.039829,39.058826,17.94734,98.88446363572935,5.251558239248658,9.306773636750073,4.276417083344748
dish_1551374440,48.059998,54.0,0.162,12.42,0.594,112.35955523760114,0.3370786657128034,25.842697704648263,1.2359551076136124
dish_1563824250,17.200001,43.0,0.043,3.87,0.473,249.9999854651171,0.2499999854651171,22.49999869186054,2.749999840116288
dish_1560543755,257.924927,264.0,8.887804,27.355255,17.404505,102.3553648228812,3.445887957932813,10.605898126317973,6.747895677411591
dish_1558549773,2.3,10.0,0.04,0.36,0.29,434.7826086956522,1.7391304347826089,15.652173913043478,12.608695652173912
dish_1563822597,59.400002,176.0,2.170667,7.626667,4.106667,296.2962863199904,3.6543214257804233,12.839506301700126,6.913580575300317
dish_1551492561,357.932007,159.0,28.653,7.446,18.050001,44.42184462145627,8.00515165999111,2.0802833651029147,5.042857483264972
dish_1566920365,490.421692,871.0,5.324439,41.393566,60.675976,177.602258262263,1.0856858672556433,8.440402754452387,12.372204775966559
dish_1563984242,402.117035,753.0,3.30239,36.819611,49.407761,187.25891580295772,0.8212509574482463,9.156441482266475,12.286910700015481
dish_1551237016,92.5,37.0,5.55,0.0,9.62,40.0,5.999999999999999,0.0,10.399999999999999
dish_1551489812,74.75,65.0,6.955,4.095,0.52,86.95652173913042,9.304347826086955,5.478260869565217,0.6956521739130435
dish_1558459276,102.699997,79.0,0.237,22.120001,2.133,76.9230791700997,0.23076923751029907,21.538463141337775,2.0769231375926918
dish_1560974707,55.025124,60.0,2.003546,7.088692,2.992605,109.04109911683251,3.641147632852222,12.882646116344961,5.438615640375477
dish_1564686855,1030.160645,435.0,52.116467,85.930336,56.845505,42.22642382150019,5.059062123267192,8.341450085195207,5.518120428683238
dish_1565119669,55.965,229.0,1.0305,10.842,3.2725,409.18431162333604,1.841329402305012,19.37282229965157,5.847404627892433
dish_1566417516,385.402527,425.0,36.516472,23.505039,33.699574,110.27431587131238,9.474891689021021,6.098828459420039,8.74399404236392
dish_1558724031,358.710999,303.0,25.801001,25.789999,14.067,84.46911325403768,7.192698599130494,7.1896315061139235,3.92154130740775
dish_1551494178,369.660004,230.0,14.521,36.071999,26.472002,62.21933601450699,3.9282042533332873,9.75815576737374,7.161175597455222
dish_1551233434,27.23,104.0,0.292,5.182,2.334,381.93169298567756,1.072346676459787,19.03048108703636,8.571428571428573
dish_1551390304,39.650002,65.0,0.325,9.75,0.715,163.93441796043288,0.8196720898021644,24.590162694064933,1.8032785975647616
dish_1558637393,739.968018,128.0,63.360001,29.056,28.672001,17.29804490009729,8.562532360689133,3.926656192322085,3.874762192762769
dish_1563393217,49.230003,228.0,0.467667,9.802668,2.865667,463.13220821863445,0.949963379039404,19.91197928629011,5.820976691795042
dish_1562789268,569.511536,350.0,22.733551,64.756828,32.585655,61.45617390970637,3.991763039546226,11.370591095454122,5.721684801833409
dish_1563998323,634.505066,574.0,32.486301,35.302532,52.964516,90.46421073019454,5.119943518307542,5.563790407939783,8.347374802520488
dish_1568144803,66.128174,93.0,4.050533,8.068691,0.798856,140.6359715905659,6.125275741017738,12.201593529559728,1.2080418249564853
dish_1551487158,94.299995,82.0,8.774,5.166,0.656,86.95652634976281,9.30434831942462,5.478261160035057,0.6956522107981025
dish_1559700851,61.089886,54.0,5.827236,1.897059,1.151647,88.39433748493163,9.538790103487834,3.105356916200498,1.8851680292872048
dish_1561997365,98.951996,168.0,0.672,6.048,16.800001,169.7792937900919,0.6791171751603677,6.112054576443309,16.97793038960023
dish_1551395233,139.410004,113.0,2.094,5.964,24.362,81.05587601876836,1.5020442865778845,4.278028713061367,17.47507302273659
dish_1561492204,488.636322,334.0,15.686282,49.120712,37.193401,68.35349419644658,3.2102161247030674,10.052611684483004,7.61167341137608
dish_1567613057,406.68631,749.0,4.968488,45.862511,40.6982,184.17143178485648,1.2217003321306783,11.277121917381482,10.007270714374428
dish_1563996485,178.039185,201.0,11.607642,16.567097,4.172902,112.89649522940694,6.5197119386948446,9.305309390177225,2.343810998685486
dish_1550775393,402.750031,166.0,30.093002,28.189999,12.973,41.216632457565225,7.471880740835995,6.999378480494767,3.2211046558553837
dish_1564761488,327.986023,336.0,8.358,40.558998,21.735001,102.44338979042409,2.5482793210367998,12.36607512387807,6.6268070819591
dish_1551376970,125.389999,184.0,1.204,29.699999,2.723,146.7421656172116,0.9602041706691455,23.686098761353364,2.1716245487808
dish_1559239151,9.2,40.0,0.16,1.44,1.16,434.7826086956522,1.7391304347826089,15.652173913043478,12.608695652173912
dish_1559678330,169.694122,150.0,16.186766,5.269608,3.199019,88.39434049459886,9.53879003540264,3.1053568255004143,1.8851678315646077
dish_1563998210,148.089218,91.0,4.958992,2.163187,22.614895,61.449443267368736,3.3486516216190707,1.460732272892413,15.271128651648361
dish_1565033110,47.599998,147.0,0.588,9.355,3.418,308.8235423875438,1.2352941695501751,19.653362170309336,7.180672570616495
dish_1564428444,157.001038,277.0,10.32739,14.948835,4.712034,176.43195454542155,6.577911924378487,9.521488004429626,3.001275698572133
dish_1558459115,271.540009,298.0,10.487999,43.459003,6.616,109.7444170740968,3.862413880968826,16.00464077468599,2.43647336698733
dish_1564082178,549.203613,348.0,15.769115,9.967051,86.590042,63.364477538497184,2.871269348331836,1.8148189057889537,15.766473480938298
dish_1550707756,87.5,35.0,5.25,0.0,9.099999,40.0,6.0,0.0,10.399998857142858
dish_1558723777,74.360001,143.0,0.286,20.02,0.429,192.30768972152111,0.3846153794430422,26.923076561012955,0.5769230691645634
dish_1558721757,768.873047,133.0,65.834999,30.191,29.792002,17.298044263476438,8.562531780360352,3.9266560478091512,3.8747621751396886
dish_1551227216,5.28,24.0,0.072,0.792,0.744,454.54545454545456,1.3636363636363635,15.0,14.090909090909092
dish_1564777960,331.007507,147.0,16.715342,16.270294,26.4312,44.40986892783673,5.0498377367616625,4.915385196988901,7.985075697996179
dish_1551492702,28.5,114.0,0.342,5.7,2.052,400.00000000000006,1.2000000000000002,20.000000000000004,7.200000000000001
dish_1563378110,348.823059,405.0,11.770057,31.482302,26.479719,116.10470969466499,3.37421987919669,9.025292677110546,7.5911607093612465
dish_1558376306,372.167999,108.0,29.484001,4.536,20.844,29.01915271871615,7.922228960905367,1.218804414186078,5.600696474712217
dish_1558114086,74.360001,143.0,0.286,0.429,20.02,192.30768972152111,0.3846153794430422,0.5769230691645634,26.923076561012955
dish_1550771267,20.299999,58.0,0.232,4.06,1.392,285.71429978888176,1.1428571991555272,20.00000098522172,6.857143194933162
dish_1551390215,15.05,43.0,0.172,3.01,1.032,285.7142857142857,1.1428571428571428,20.0,6.857142857142858
dish_1558720236,887.823059,407.0,66.440002,60.460999,31.913002,45.84246780641457,7.483473348263194,6.810028010322269,3.5945227685283627
dish_1563468269,129.01001,302.0,0.56,32.762001,1.768,234.0903624455188,0.4340748442698362,25.394929432220028,1.3704362940519113
dish_1558380557,699.320068,212.0,54.440002,24.960001,32.732002,30.315160353728043,7.784704671166393,3.5691812865293033,4.680546647776166
dish_1562873028,280.3414,320.0,16.123878,34.232201,20.963665,114.14653704376164,5.751515116925292,12.210897498549983,7.477905510923466
dish_1551565884,25.08,44.0,0.132,6.16,0.308,175.43859649122808,0.5263157894736843,24.561403508771935,1.2280701754385965
dish_1558637769,80.079994,154.0,0.308,21.559999,0.462,192.30770671636165,0.38461541343272326,26.92307769153929,0.576923120149085
dish_1564415022,69.159996,133.0,0.266,0.931,13.3,192.30770343017372,0.38461540686034745,1.346153924011216,19.230770343017372
dish_1558724959,581.441956,426.0,36.466,57.004002,21.298,73.2661266707764,6.271649237503597,9.803902420829088,3.6629623611131352
dish_1551391034,48.959999,72.0,1.008,8.639999,1.728,147.05882653306426,2.0588235714628995,17.64705714148401,3.529411836793542
dish_1558115867,132.962997,23.0,11.385,5.221,5.152,17.2980457111688,8.562532627028556,3.9266563764353175,3.8747622393018113
dish_1551391302,26.860001,79.0,0.158,6.32,0.632,294.11763610879984,0.5882352722175997,23.52941088870399,2.352941088870399
dish_1551222877,104.639999,48.0,1.392,21.599998,2.88,45.87156007140252,1.330275242070673,20.64220012081613,2.752293604284151
dish_1561580370,126.795876,124.0,4.96353,16.20141,5.41,97.79497875782648,3.9145831525309234,12.777552796748688,4.266700282901946
dish_1551223114,124.5,100.0,1.576,25.859999,3.936,80.32128514056224,1.2658634538152609,20.771083534136544,3.16144578313253
dish_1562618000,685.993896,448.0,36.103981,30.821442,59.159676,65.30670354536217,5.2630178213714025,4.492961552532532,8.623936210651065
dish_1561061658,226.000137,227.0,12.284481,24.678637,8.949248,100.44241698844634,5.435607766910336,10.91974426546476,3.959841847352509
dish_1559838402,222.759506,233.0,3.797,43.154999,5.249,104.5971075191736,1.7045288294004388,19.37291017335978,2.3563528642409537
dish_1566242164,79.220001,161.0,4.47,9.891001,1.513,203.23150462974624,5.642514445310345,12.485484568474066,1.9098712205267454
dish_1550775363,402.75,166.0,30.093,28.190001,12.973,41.216635630043456,7.471880819366853,6.999379515828678,3.2211049037864683
dish_1564686832,829.737549,392.0,39.732468,64.516342,54.179504,47.2438544540305,4.78855850839649,7.775511916720547,6.5297158198152125
dish_1566502211,104.279999,237.0,4.977,10.191,7.584001,227.27272945217425,4.772727318495659,9.772727366443492,7.272728301426239
dish_1551314967,142.099991,139.0,7.113,15.960001,7.775,97.81844391531313,5.00563015517714,11.231528508682313,5.471499290946472
dish_1561753238,298.034393,333.0,13.71139,14.026631,28.881098,111.73207113717241,4.600606615223767,4.706379978098702,9.690525213980925
dish_1566938026,450.576294,219.0,17.546904,37.536308,33.509502,48.60442125257482,3.894324720066165,8.33073299679632,7.437031740511407
dish_1562617703,179.630005,110.0,6.49,26.950001,4.51,61.23698543570156,3.6129821407063925,15.00306198844675,2.510716402863764
dish_1551125357,23.120001,68.0,0.476,4.624,0.476,294.11763433747257,2.058823440362308,19.999999134948133,2.058823440362308
dish_1559751801,451.635986,343.0,22.040001,32.778,29.228001,75.94611825285331,4.880036507985438,7.257614764116693,6.471583732479635
dish_1564000490,532.706482,325.0,19.150002,49.639648,39.909866,61.00920694259545,3.594850569135744,9.31838633042952,7.491905457985397
dish_1551389684,6.732,33.0,0.033,1.287,0.726,490.19607843137254,0.49019607843137253,19.117647058823525,10.784313725490195
dish_1564000459,485.186493,217.0,16.882004,44.995647,36.453865,44.72507028343842,3.479487628687965,9.27388697937228,7.513371770635834
dish_1558457530,16.0,64.0,0.192,3.2,1.152,400.0,1.2,20.0,7.199999999999999
dish_1551563213,137.089996,137.0,6.757,11.004,9.523,99.93435261315494,4.928878982533488,8.026843913541292,6.946531678358207
dish_1558723449,74.360001,143.0,0.286,20.02,0.429,192.30768972152111,0.3846153794430422,26.923076561012955,0.5769230691645634
dish_1567628157,373.190979,355.0,36.018696,25.867041,37.479683,95.12555768396534,9.65154519450482,6.9313146500253415,10.04303027378376
dish_1566502505,454.517365,275.0,22.45969,33.146801,31.874937,60.50373894955587,4.9414371659925465,7.292746889879555,7.012919517387417
dish_1565728415,194.42775,80.0,8.405299,16.724396,12.005533,41.146389854328916,4.323096368702513,8.60185647367724,6.174804265337638
dish_1550775318,333.850006,55.0,29.700001,11.549999,11.0,16.474464283819724,8.896211012798364,3.4596372000664273,3.2948928567639446
dish_1565383026,171.559998,287.0,14.031,12.198999,3.695,167.28841416750308,8.178479927471205,7.110631348923191,2.1537654715990375
dish_1558642089,39.360001,96.0,0.192,9.6,0.864,243.90243282768213,0.48780486565536424,24.39024328276821,2.195121895449139
dish_1566849923,127.970001,240.0,7.515,16.214001,2.093,187.54395414906654,5.872470064292646,12.670157750487164,1.635539566808318
dish_1550863247,17.16,33.0,0.066,4.62,0.099,192.3076923076923,0.38461538461538464,26.923076923076923,0.576923076923077
dish_1550772027,66.300003,142.0,0.564,15.336,1.476,214.1779691925504,0.8506786945394255,23.131220672795443,2.2262442431563687
dish_1550797833,292.003998,168.0,17.58,19.098,14.083,57.5334588398341,6.02046551431121,6.540321410256855,4.822879171674902
dish_1562959732,374.663696,232.0,14.678156,31.110981,28.858997,61.92219915537266,3.9176883580415005,8.30370845431472,7.702640343354751
dish_1560368972,196.840424,107.0,8.696033,13.621221,14.67344,54.35875305775606,4.417808508683155,6.919930735365617,7.454485060446729
dish_1566502537,517.644226,315.0,24.27223,34.292435,41.827816,60.85260574315766,4.688979183165853,6.624711196913843,8.080417765540767
dish_1561576590,29.231468,101.0,1.295191,3.387423,0.896671,345.5180560894171,4.430810659252556,11.588275347649322,3.067485355165878
dish_1558723866,14.75,59.0,0.177,2.95,1.062,400.0,1.2,20.000000000000004,7.200000000000001
dish_1564778030,504.417786,283.0,31.904985,23.514265,30.773952,56.10428653679552,6.325111026120717,4.661664527428064,6.100885586139899
dish_1551222759,14.8,37.0,0.074,3.33,0.74,249.99999999999997,0.4999999999999999,22.499999999999996,4.999999999999999
dish_1551380950,84.419998,21.0,6.93,0.273,5.25,24.875622479877336,8.20895541835952,0.3233830922384054,6.218905619969334
dish_1561392512,42.75,75.0,0.225,10.5,0.525,175.43859649122808,0.5263157894736842,24.56140350877193,1.2280701754385965
dish_1564675118,177.188782,238.0,4.080829,34.125175,2.032732,134.3200158122877,2.3030967050724462,19.259218678979348,1.1472125814375767
dish_1566838407,358.947601,558.0,9.825659,62.420345,9.731463,155.45444472827106,2.737351906692364,17.389820917064714,2.711109636305941
dish_1559319860,70.330002,13.0,5.46,0.182,4.81,18.484287829253866,7.763400888286625,0.25878002960955415,6.83918649682393
dish_1559242568,116.116005,203.0,0.203,30.855999,0.812,174.8251672971353,0.1748251672971353,26.573424567956845,0.6993006691885412
dish_1563824339,85.339996,175.0,4.087,12.075,2.098,205.06211413461983,4.789079202675379,14.149285875288768,2.4584018025967564
dish_1551306452,98.0,70.0,0.42,16.799999,6.3,71.42857142857143,0.42857142857142855,17.14285612244898,6.428571428571429
dish_1567021831,252.435623,228.0,27.216339,8.228521,22.713125,90.32005756176497,10.781496952195214,3.2596512735447014,8.997591041261241
dish_1559846099,206.938995,114.0,14.642001,15.712999,7.688,55.088698966572245,7.075515661028507,7.593058524325007,3.7151045408333983
dish_1562873155,41.33675,79.0,2.052025,5.39175,1.38645,191.11323459149546,4.964166268514094,13.043478260869565,3.3540372670807455
dish_1562094621,10.54,34.0,0.034,2.38,0.612,322.58064516129036,0.32258064516129037,22.580645161290324,5.806451612903226
dish_1563900150,202.2966,154.0,12.745122,10.284879,10.978048,76.12584690004675,6.300215623989725,5.0840592476591295,5.4267090994114575
dish_1551390979,55.510002,91.0,0.455,13.650001,1.001,163.93442032302573,0.8196721016151287,24.590164849931007,1.803278623553283
dish_1562086702,178.529999,33.0,13.86,0.462,12.21,18.484288458434374,7.7634011525424365,0.2587800384180812,6.839186729620718
dish_1564429894,498.769836,566.0,11.819027,73.531738,25.254065,113.47919604344318,2.3696354805225233,14.74261927900548,5.063270305704695
dish_1561662458,124.815498,119.0,4.855837,21.055183,3.202388,95.34072443471723,3.890411910226084,16.869045380886913,2.565697410428952
dish_1558720364,73.839996,142.0,0.284,19.879999,0.426,192.30770272522767,0.3846154054504553,26.92307702725228,0.576923108175683
dish_1559845290,66.220001,86.0,0.086,14.62,1.72,129.87012790893797,0.12987012790893795,22.077921744519454,2.5974025581787594
dish_1550707156,645.002014,335.0,43.278999,26.605999,35.140999,51.93782232128038,6.709901374044391,4.1249482052004875,5.448199887326243
dish_1559844506,98.959999,180.0,0.459,25.1,1.312,181.8916752414276,0.4638237718656404,25.363783603110182,1.3257882106486278
dish_1560360055,362.734009,180.0,27.786999,4.154,22.556999,49.623138590238995,7.660433902132403,1.1451917650214043,6.218606041982681
dish_1551488861,217.098007,63.0,17.198999,2.646,12.159,29.019151705063784,7.922227954860958,1.2188043716126788,5.600696279077311
dish_1567106825,220.200867,104.0,16.905151,3.357732,13.460875,47.229605140473865,7.6771500631739125,1.5248495819955152,6.112998183608424
dish_1562099053,98.382996,37.0,3.478,12.395,4.144,37.60812488369433,3.5351637390672677,12.598721836037601,4.212109986973766
dish_1560453380,411.388397,480.0,15.234276,25.491495,41.922752,116.67805983356405,3.7031370138521433,6.196454539285415,10.190552846340974
dish_1566849327,551.702026,362.0,31.255999,14.87,55.122002,65.61512971496681,5.665376875016224,2.695295521717007,9.991263291101271
dish_1560527191,663.989319,318.0,45.395912,28.933577,34.38044,47.89233665368644,6.8368437113368685,4.35753651031245,5.177860398685118
dish_1563898786,420.928467,344.0,31.47023,11.427504,23.636036,81.72409969126655,7.4763843425206025,2.7148327794138005,5.615214425495248
dish_1551381829,2.652,13.0,0.013,0.507,0.286,490.19607843137254,0.4901960784313725,19.11764705882353,10.784313725490195
dish_1551376692,41.279999,43.0,0.645,9.03,1.462,104.16666919008405,1.5625000378512608,21.87500052991765,3.5416667524628576
dish_1551565752,122.25,131.0,2.79,13.64,10.773,107.15746421267895,2.2822085889570554,11.157464212678939,8.812269938650306
dish_1560973958,145.313232,121.0,6.214187,20.729744,4.312272,83.26839774646263,4.276408221379317,14.26555841796981,2.96757008336309
dish_1558546663,330.734009,197.0,22.108002,30.264,10.601,59.56448222414284,6.684526356042205,9.15055578696172,3.205294802325575
dish_1550861432,26.789999,47.0,0.141,6.58,0.329,175.4386030398881,0.5263158091196642,24.561404425584335,1.2280702212792167
dish_1551393210,484.329987,190.0,34.821003,31.131001,18.821001,39.22945204712257,7.18952035484848,6.42764268899171,3.8859871379386632
dish_1563206582,229.248688,320.0,4.417208,16.967773,26.033964,139.58640408882079,1.9268193151011621,7.401470057704323,11.356210684180667
dish_1565207815,40.848213,80.0,1.023567,7.094023,2.678475,195.84700069988375,2.5057815870672235,17.366789093074892,6.5571411899952645
dish_1551236712,32.43,69.0,0.069,8.28,0.621,212.76595744680853,0.21276595744680854,25.53191489361702,1.9148936170212767
dish_1568305257,837.147766,420.0,65.496887,9.31325,52.072983,50.17035427411031,7.823814344384215,1.1124977427222806,6.220285726713628
dish_1550712024,29.92,88.0,0.616,5.984,0.616,294.11764705882354,2.0588235294117645,20.0,2.0588235294117645
dish_1551139367,77.75,105.0,1.863,9.42,6.735,135.04823151125402,2.3961414790996787,12.115755627009646,8.662379421221866
dish_1568314823,144.0,90.0,13.500001,8.1,1.8,62.5,9.375000694444445,5.625,1.25
dish_1565119464,504.065033,223.0,23.109737,44.41399,28.041883,44.2403232520991,4.584673700228676,8.811162665988775,5.56314784088584
dish_1565725047,77.659996,110.0,4.84,9.372,0.946,141.6430667856331,6.232294938567856,12.06798929013594,1.2181303743564444
dish_1551236011,281.720001,307.0,4.474,21.995998,38.446003,108.97344842761093,1.5881016555867469,7.807751640608577,13.646884446802197
dish_1550705623,20.4,51.0,0.102,4.59,1.02,250.00000000000003,0.5,22.5,5.0
dish_1559841163,357.043518,335.0,18.222002,27.539,21.153002,93.82609769154246,5.103580118768603,7.7130653860519045,5.924488454093711
dish_1563568338,631.706665,371.0,29.600521,57.599113,38.704674,58.72979035293224,4.685801597486707,9.118015716994217,6.127001050400504
dish_1551395512,25.5,51.0,0.051,6.63,0.255,200.0,0.19999999999999998,26.0,1.0
dish_1563468299,210.350006,385.0,4.129,35.584,10.898,183.02828096900552,1.9629188886260358,16.916567142859982,5.180888846753824
dish_1558027001,20.400002,68.0,0.068,5.168,0.408,333.333300653598,0.333333300653598,25.333330849673445,1.9999998039215876
dish_1551568059,35.669998,123.0,0.369,11.070001,1.353,344.82760554121705,1.034482816623651,31.034487302186,3.7931036609533875
dish_1565033265,1324.084961,625.0,106.343002,19.202002,76.664001,47.202409090726015,8.031433414943832,1.4502092060239027,5.7899608603741255
dish_1551323574,61.880001,91.0,1.274,10.92,2.184,147.0588211528956,2.0588234961405383,17.647058538347473,3.5294117076694946
dish_1551491271,43.5,30.0,1.8,0.45,6.3,68.96551724137932,4.137931034482759,1.0344827586206897,14.482758620689655
dish_1563475921,244.343323,348.0,6.723852,27.165054,19.799664,142.42255353136864,2.7518050902500004,11.117575739935402,8.103214672250324
dish_1561665024,100.570984,121.0,6.984664,8.948565,2.141329,120.31303183828847,6.945009109187994,8.897760212826396,2.1291717698615735
dish_1550710448,48.91,67.0,3.216,1.273,5.36,136.986301369863,6.575342465753425,2.602739726027397,10.958904109589042
dish_1563813308,224.982895,76.0,16.446194,3.901661,15.332276,33.78034583473557,7.3099752761204355,1.7342033935513186,6.814862969916002
dish_1551235600,83.659996,178.0,0.178,21.359999,1.602,212.76596761969722,0.2127659676196972,25.53191491904924,1.914893708577275
dish_1561062555,47.093922,32.0,3.147569,4.405365,1.027732,67.94932050891833,6.683599212654236,9.354423698242844,2.182302845789739
dish_1558723414,51.988998,49.0,1.176,10.78,1.519,94.25071050609593,2.262017052146302,20.735156311341104,2.9217720256889734
dish_1562691674,376.976868,435.0,11.33825,42.573318,26.482393,115.3916955986806,3.0076779140729664,11.293350232831791,7.024938463863516
dish_1566591080,909.629578,549.0,43.513371,19.378721,103.567314,60.35423795333093,4.783636334217795,2.1303969735249746,11.385658129951443
dish_1550862648,16.119999,31.0,0.062,4.34,0.093,192.30770423745065,0.3846154084749013,26.92307859324309,0.576923112712352
dish_1564082462,905.354492,609.0,32.071827,40.532917,108.82251,67.26646914344795,3.542460691739739,4.477021692404659,12.019878507434411
dish_1562602860,165.182281,258.0,5.622155,20.834251,10.206213,156.19108686360858,3.40360658901423,12.612884913485363,6.178757756711206
dish_1568217372,508.916168,244.0,41.079079,6.503528,27.115328,47.94502814852603,8.071875405616902,1.2779173484619966,5.328053951707033
dish_1561739954,276.119995,225.0,16.059999,16.556,15.39,81.48631177542937,5.816311491675929,5.995943901128928,5.57366372543937
dish_1558638983,59.416,56.0,1.344,12.32,1.736,94.25070688030159,2.2620169651272386,20.735155513666353,2.9217719132893496
dish_1558631825,118.832001,112.0,2.688,24.639999,3.472,94.25070608715913,2.262016946091819,20.735154497650846,2.921771888701933
dish_1564689108,203.66246,159.0,15.866496,13.156699,4.929469,78.07035228780012,7.790584479830009,6.460051106129229,2.420411203910627
dish_1563216440,403.786346,352.0,6.472354,39.857891,44.691349,87.17481497009312,1.6029155180992676,9.871034866543011,11.068068408633115
dish_1559240908,60.16,128.0,0.128,15.36,1.152,212.76595744680853,0.21276595744680854,25.531914893617024,1.9148936170212767
dish_1563395480,370.521423,329.0,14.106581,31.81958,29.161797,88.79378615578727,3.807224123718212,8.587784140081961,7.870475278834282
dish_1559235815,352.39502,268.0,16.284,31.334002,19.628799,76.05101797409056,4.620950659291383,8.891726676500708,5.570112483428399
dish_1565640272,377.820007,405.0,13.907999,49.740002,16.559999,107.1938998720097,3.6811176598173114,13.164999491411264,4.3830391967569895
dish_1565898158,240.425751,194.0,10.293161,10.249402,25.324493,80.69019195868084,4.281222355420655,4.263021725988079,10.533186605290048
dish_1564415077,152.040009,189.0,6.426,1.827,18.9,124.30938490670572,4.226519086827994,1.2016573874314886,12.43093849067057
dish_1551237348,158.569992,271.0,2.242,28.485001,9.334,170.9024491847108,1.413886682922958,17.96367688534663,5.886359633542769
dish_1565022062,234.606583,366.0,2.846122,30.903877,19.271049,156.0058525723466,1.2131466916254432,13.172638467693806,8.214197894012207
